date,category,value,notes
2024-01-15,Electronics,1200.50,Initial stock
2024-01-20,Clothing,450.00,Summer sale
2024-02-05,Electronics,800.00,Restock
2024-02-14,Groceries,200.00,Weekly supply
2024-03-10,Clothing,600.00,New collection
2024-03-22,Home,1500.00,Furniture
2024-04-05,Electronics,1100.00,Promo
2024-04-18,Groceries,250.00,Weekly supply
2024-05-12,Home,300.00,Decor
2024-05-25,Electronics,950.00,Flash sale
2024-06-08,Clothing,520.00,Mid-season sale
2024-06-21,Groceries,180.00,Weekly supply
2024-07-04,Electronics,2100.00,Holiday sale
2024-07-15,Home,400.00,Garden
2024-08-02,Groceries,220.00,Weekly supply
2024-08-20,Clothing,340.00,Discount
2024-09-10,Electronics,1500.00,iPhone launch season
2024-10-05,Home,1200.00,Renovation
2024-11-12,Clothing,800.00,Winter collection
2024-12-24,Electronics,3000.00,Christmas sale
